epoch,acc,iou,loss,lr,precision_4,recall_4,val_acc,val_iou,val_loss,val_precision_4,val_recall_4
16,0.7493444681167603,0.06017092987895012,0.48149266839027405,1e-05,0.43030887842178345,0.525988757610321,0.7213473916053772,0.05105218291282654,0.4715915024280548,0.2895750105381012,0.13456228375434875
17,0.746494710445404,0.061540719121694565,0.47215527296066284,1e-05,0.5190983414649963,0.513469398021698,0.7530121207237244,0.07166559994220734,0.4687115550041199,0.5013959407806396,0.24523966014385223
18,0.7486899495124817,0.06243713200092316,0.46279194951057434,1e-05,0.5827713012695312,0.5527247190475464,0.7823799252510071,0.05912179872393608,0.45306161046028137,0.5188015699386597,0.2742728888988495
19,0.7543023228645325,0.06382141262292862,0.45991507172584534,1e-05,0.5860532522201538,0.5469488501548767,0.7964999079704285,0.05900345370173454,0.4518131911754608,0.5173050165176392,0.22070442140102386
20,0.7647005915641785,0.06415805220603943,0.455665647983551,1e-05,0.6065383553504944,0.5596283078193665,0.8211607336997986,0.0635247454047203,0.4431662857532501,0.533284604549408,0.16480869054794312
21,0.7653194665908813,0.06544293463230133,0.4464645981788635,1e-05,0.6744692325592041,0.5714959502220154,0.8309800624847412,0.06071607396006584,0.42354142665863037,0.657311737537384,0.2024809569120407
22,0.7827030420303345,0.06626852601766586,0.4431608319282532,1e-05,0.6861135363578796,0.5807625651359558,0.7500250339508057,0.05416019260883331,0.40748131275177,0.652145504951477,0.1714276820421219
23,0.7782992124557495,0.06723158806562424,0.4382622539997101,1e-05,0.7116850018501282,0.5715001821517944,0.828233003616333,0.058775290846824646,0.40908685326576233,0.7310667634010315,0.37665948271751404
24,0.7908341884613037,0.06889566779136658,0.4417192339897156,1e-05,0.5702909231185913,0.5738270282745361,0.859481930732727,0.06526022404432297,0.4127011299133301,0.49995750188827515,0.36979347467422485
25,0.7827815413475037,0.0686844140291214,0.4340677261352539,1e-05,0.7038195133209229,0.5757050514221191,0.8697019219398499,0.07021453231573105,0.41049546003341675,0.7971946597099304,0.35588276386260986
26,0.7947152256965637,0.0687568262219429,0.4272947609424591,1e-05,0.7435369491577148,0.606128990650177,0.8661180734634399,0.07578685134649277,0.4048745036125183,0.8329391479492188,0.398624062538147
27,0.8023422360420227,0.06911777704954147,0.424344539642334,1e-05,0.7545870542526245,0.6062635779380798,0.85731440782547,0.08384537696838379,0.40297284722328186,0.8562678694725037,0.4172421395778656
28,0.8039961457252502,0.07137482613325119,0.4202895164489746,1e-05,0.778322696685791,0.6310033798217773,0.8438699841499329,0.0756455659866333,0.39898917078971863,0.8071185946464539,0.4750082492828369
29,0.8013081550598145,0.07067292928695679,0.4232264757156372,1e-05,0.7017269730567932,0.57943195104599,0.8264086842536926,0.10911353677511215,0.40494081377983093,0.8498235940933228,0.5761231780052185
