epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8080341815948486,0.08825172483921051,0.7288298606872559,1e-05,0.13146482408046722,0.7805977463722229,0.0759374275803566,0.09168660640716553,0.6969529390335083,0.12132023274898529,0.5707592964172363
1,0.8455970883369446,0.0963989645242691,0.6684436202049255,1e-05,0.164603590965271,0.8005028963088989,0.31210675835609436,0.09387830644845963,0.7187564373016357,0.11646830290555954,0.7826889753341675
2,0.8750861287117004,0.10501600056886673,0.6239631175994873,1e-05,0.19324618577957153,0.7827661633491516,0.5140231251716614,0.09743297100067139,0.7165598273277283,0.13529007136821747,0.9348829388618469
3,0.8950042724609375,0.11896021664142609,0.5821736454963684,1e-05,0.23837217688560486,0.7637866735458374,0.6061038970947266,0.09644113481044769,0.7027272582054138,0.14740349352359772,0.9222329258918762
4,0.8962989449501038,0.13635464012622833,0.5429990887641907,1e-05,0.31663957238197327,0.7666816711425781,0.7317668795585632,0.10050889849662781,0.6750783920288086,0.1689770668745041,0.8840368986129761
5,0.8942270874977112,0.15128089487552643,0.5069997906684875,1e-05,0.46608003973960876,0.7631444334983826,0.9173066020011902,0.10028377175331116,0.6313197612762451,0.1774713546037674,0.622993528842926
6,0.8877897262573242,0.16361775994300842,0.4771956503391266,1e-05,0.608097493648529,0.7665157318115234,0.9533905982971191,0.09896200150251389,0.5823327302932739,0.16377583146095276,0.3624587655067444
7,0.876397967338562,0.17179352045059204,0.4552934169769287,1e-05,0.7028847336769104,0.7719771265983582,0.9627656936645508,0.10228627920150757,0.5580107569694519,0.1808936446905136,0.3349822461605072
8,0.8615421652793884,0.1796223670244217,0.43591681122779846,1e-05,0.7742278575897217,0.7825383543968201,0.9603444933891296,0.12271088361740112,0.5286645293235779,0.24932962656021118,0.436751127243042
9,0.85886150598526,0.18763700127601624,0.419224351644516,1e-05,0.824173092842102,0.8012129664421082,0.9585711359977722,0.13056649267673492,0.5049853324890137,0.31760895252227783,0.43543124198913574
10,0.867776095867157,0.1941169798374176,0.4063328802585602,1e-05,0.8582112789154053,0.8053812384605408,0.9472894668579102,0.14106421172618866,0.47759300470352173,0.5305163264274597,0.4777485132217407
11,0.874637246131897,0.197064608335495,0.3979361653327942,1e-05,0.8767744898796082,0.8079595565795898,0.9500390887260437,0.15006586909294128,0.4556845426559448,0.7338356971740723,0.4885483384132385
12,0.8815807104110718,0.2025316208600998,0.3886232078075409,1e-05,0.9012008309364319,0.8186656832695007,0.9464675784111023,0.16032801568508148,0.4423401653766632,0.7646120190620422,0.5330960154533386
13,0.8912125825881958,0.20625394582748413,0.38124021887779236,1e-05,0.9162467122077942,0.8238120675086975,0.9445846676826477,0.16106142103672028,0.425241619348526,0.8047550320625305,0.5225647687911987
14,0.8987493515014648,0.20909076929092407,0.37584495544433594,1e-05,0.9251314401626587,0.8242733478546143,0.9437020421028137,0.1611117422580719,0.4237858057022095,0.7993764877319336,0.5037492513656616
15,0.9009891748428345,0.21128252148628235,0.3704603314399719,1e-05,0.9307558536529541,0.8319536447525024,0.9203512072563171,0.16871947050094604,0.4117014706134796,0.8145659565925598,0.53835129737854
16,0.9059444069862366,0.21425993740558624,0.3649434745311737,1e-05,0.9388072490692139,0.8391038775444031,0.9184964299201965,0.1690627783536911,0.4123420715332031,0.776698112487793,0.5523930788040161
17,0.9060751795768738,0.21544033288955688,0.36204737424850464,1e-05,0.9374439120292664,0.8370233774185181,0.9043295979499817,0.1866624802350998,0.42965444922447205,0.7140125036239624,0.664890468120575
18,0.9090703129768372,0.21754848957061768,0.35653820633888245,1e-05,0.9461333751678467,0.8436992764472961,0.9149758219718933,0.17429828643798828,0.4039192199707031,0.8191367387771606,0.5239412784576416
19,0.9131845831871033,0.22349682450294495,0.35190680623054504,1e-05,0.9507005214691162,0.848383367061615,0.8747240900993347,0.1804317682981491,0.4125213027000427,0.7482389807701111,0.6191295385360718
